file,subject
1801.09435,Analysis of PDEs (math.AP)
1801.10562,Quantitative Methods (q-bio.QM)
1801.06422,Computation and Language (cs.CL)
1801.02244,Geometric Topology (math.GT)
1801.05635,Soft Condensed Matter (cond-mat.soft)
1801.01609,Learning (cs.LG)
1801.05619,High Energy Physics - Experiment (hep-ex)
1801.09473,Strongly Correlated Electrons (cond-mat.str-el)
1801.05890,Fluid Dynamics (physics.flu-dyn)
1801.02457,Logic in Computer Science (cs.LO)
1801.06446,Astrophysics of Galaxies (astro-ph.GA)
1801.03484,Networking and Internet Architecture (cs.NI)
1801.03972,Combinatorics (math.CO)
1801.08024,Human-Computer Interaction (cs.HC)
1801.02277,Superconductivity (cond-mat.supr-con)
1801.00158,Representation Theory (math.RT)
1801.06098,High Energy Physics - Theory (hep-th)
1801.07901,High Energy Physics - Theory (hep-th)
1801.07324,Mesoscale and Nanoscale Physics (cond-mat.mes-hall)
1801.05326,Geometric Topology (math.GT)
1801.09445,Systems and Control (cs.SY)
1801.00764,Materials Science (cond-mat.mtrl-sci)
1801.09540,Statistics Theory (math.ST)
1801.05124,Computer Vision and Pattern Recognition (cs.CV)
1801.04316,Solar and Stellar Astrophysics (astro-ph.SR)
1801.03987,Analysis of PDEs (math.AP)
1801.00853,Cryptography and Security (cs.CR)
1801.04890,Solar and Stellar Astrophysics (astro-ph.SR)
1801.10186,Artificial Intelligence (cs.AI)
1801.01425,Strongly Correlated Electrons (cond-mat.str-el)
1801.05937,Software Engineering (cs.SE)
1801.00370,Differential Geometry (math.DG)
1801.06425,Portfolio Management (q-fin.PM)
1801.09749,Computer Vision and Pattern Recognition (cs.CV)
1801.04509,Operator Algebras (math.OA)
1801.03440,High Energy Physics - Phenomenology (hep-ph)
1801.03181,Instrumentation and Methods for Astrophysics (astro-ph.IM)
1801.09585,Quantum Gases (cond-mat.quant-gas)
1801.06361,Numerical Analysis (math.NA)
1801.09472,Computer Vision and Pattern Recognition (cs.CV)
1801.09158,Quantum Physics (quant-ph)
1801.05655,Information Theory (cs.IT)
1801.03796,Soft Condensed Matter (cond-mat.soft)
1801.09344,Learning (cs.LG)
1801.04331,Computer Vision and Pattern Recognition (cs.CV)
1801.03464,Optimization and Control (math.OC)
1801.07644,Machine Learning (stat.ML)
1801.07652,Fluid Dynamics (physics.flu-dyn)
1801.04088,Spectral Theory (math.SP)
1801.02796,Social and Information Networks (cs.SI)
1801.09488,Data Structures and Algorithms (cs.DS)
1801.02213,Number Theory (math.NT)
1801.07068,Astrophysics of Galaxies (astro-ph.GA)
1801.04890,Solar and Stellar Astrophysics (astro-ph.SR)
1801.03851,Learning (cs.LG)
1801.00719,Strongly Correlated Electrons (cond-mat.str-el)
1801.00751,Statistical Mechanics (cond-mat.stat-mech)
1801.01968,Learning (cs.LG)
1801.04713,Algebraic Geometry (math.AG)
1801.00453,Computation and Language (cs.CL)
1801.06829,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
1801.08771,Programming Languages (cs.PL)
1801.07992,Networking and Internet Architecture (cs.NI)
1801.09021,Information Theory (cs.IT)
1801.08624,Computer Vision and Pattern Recognition (cs.CV)
1801.02682,Geometric Topology (math.GT)
1801.06422,Computation and Language (cs.CL)
1801.08877,Mathematical Physics (math-ph)
1801.00339,Analysis of PDEs (math.AP)
